油電燃氣,1434,8926,8927,6505,8931,2904,,,,,
水泥,1101,1102,2504,8936,1108,1104,1109,1110,1103,,
大宗物資,1210,1215,1227,1218,1702,4207,1229,1219,,,
食品,1201,1203,1210,1215,1216,1217,1218,,,,
塑膠原料,1301,1303,1305,1304,1308,1309,1310,1312,1313,,
加工絲,1402,1444,1445,4440,,,,,,,
棉紡,1440,4440,,,,,,,,,
尼龍,1314,1434,1447,,,,,,,,
成衣,2915,1417,8916,1477,1476,,,,,,
染整,1470,1463,1410,,,,,,,,
織布,1460,1445,1476,1464,,,,,,,
不織布,9919,9944,1325,6504,,,,,,,
聚酯纖維,1402,1718,1710,,,,,,,,
工具機,4510,4533,6606,4526,,,,,,,
手工具機,1539,1527,1570,1541,,,,,,,
重電,1519,1504,1513,1503,1514,,,,,,
家電,2371,1504,3024,1604,,,,,,,
機械零組件,1589,1560,2049,4552,4532,1590,,,,,
產業機械,4744,1528,6603,,,,,,,,
飛機零組件,2634,8222,2630,4541,3004,4916,6829,2645,4572,6829,
造船,2208,6753,8478,,,,,,,,
電線電纜,1608,1609,1605,1618,1612,1616,,,,,
光固化材料,1711,1721,3430,,,,,,,,
肥料,1708,1722,4148,,,,,,,,
清潔用品,4707,1731,1732,,,,,,,,
農藥,1712,6508,,,,,,,,,
合成樹脂,1316,4770,3708,,,,,,,,
電池材料,4721,4739,5227,,,,,,,,
原料藥,4746,4102,1762,4167,1789,,,,,,
西藥,1795,6535,4114,6472,4130,4123,1760,,,,
新藥研發,6550,6535,6446,4743,4147,6712,4130,4128,,,
生物製劑,6547,4142,4133,4174,,,,,,,
隱形眼鏡,6782,6491,1565,6747,,,,,,,
醫療服務,3218,4139,6662,,,,,,,,
膠帶,6509,4306,8354,,,,,,,,
醫材通路,4164,4104,4175,1788,,,,,,,
基因檢測,4160,6236,6615,,,,,,,,
檢測試劑,4155,4171,4736,,,,,,,,
保健品,1720,8436,3205,1734,1707,,,,,,
藥品通路,4114,4173,6469,8403,,,,,,,
建材,1802,1809,8930,1603,1806,,,,,,
造紙,1905,1907,1904,1909,1903,,,,,,
橡膠原料,2104,2103,2108,,,,,,,,
輪胎,2105,2101,2102,2106,,,,,,,
汽車,2206,2201,2204,6592,2207,2247,,,,,
汽車零組件,6235,4543,1319,1525,3162,2230,1568,1524,4566,1522,6605
3C通路,2347,2430,2450,6154,,,,,,,
IC封測,3711,2329,2449,3265,3264,8150,2441,6271,,,
封測材料,6223,2486,6515,6217,,,,,,,
ABF,3037,3189,8046,,,,,,,,
